Sygnatura czasowa,Age,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Frequency [Folk],Anxiety,Depression,Insomnia,OCD,Music effects
2023-06-02 12:19:03,22,2,Nie,Nie,Nie,Jazz,Nie,Tak,,czasem,nigdy,nigdy,czasem,czasem,czasem,nigdy,czasem,nigdy,nigdy,bardzo często,czasem,czasem,nigdy,nigdy,nigdy,2,0,2,0,Nie odczuwam żadnych efektów
2023-06-02 12:20:50,18,4,Nie,Nie,Nie,Jazz,Tak,Tak,,nigdy,nigdy,nigdy,nigdy,często,bardzo często,nigdy,czasem,nigdy,rzadko,czasem,nigdy,nigdy,nigdy,,nigdy,1,1,1,1,Poprawia
2023-06-03 18:18:45,35,4,Tak,Tak,Nie,Muzyka Klasyczna,Nie,Nie,,bardzo często,nigdy,nigdy,nigdy,czasem,czasem,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,1,1,1,1,Poprawia
2023-06-03 18:20:13,29,3,Nie,Nie,Nie,Jazz,Nie,Nie,,czasem,nigdy,nigdy,nigdy,nigdy,bardzo często,nigdy,czasem,rzadko,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,2,1,2,0,Poprawia
2023-06-03 18:23:35,21,3,Nie,Nie,Nie,Pop,Nie,Tak,,czasem,nigdy,nigdy,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,bardzo często,nigdy,nigdy,nigdy,nigdy,nigdy,1,1,0,0,Pogarsza
2023-06-03 18:24:56,50,1,Nie,Nie,Nie,Jazz,Nie,Tak,,czasem,nigdy,nigdy,nigdy,nigdy,bardzo często,nigdy,bardzo często,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,0,0,0,0,Poprawia
2023-06-03 18:26:48,33,1,Nie,Nie,Nie,Muzyka Klasyczna,Nie,Nie,,bardzo często,nigdy,nigdy,nigdy,czasem,czasem,nigdy,czasem,czasem,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,1,1,1,1,Poprawia
2023-06-05 13:49:11,26,3,Tak,Nie,Nie,Elektroniczna muzyka taneczna,Tak,Tak,Około 100,często,rzadko,bardzo
2023-06-05 15:40:26,50,1,Tak,Tak,Nie,Muzyka Klasyczna,Nie,Nie,,bardzo często,nigdy,nigdy,nigdy,nigdy,często,nigdy,czasem,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,nigdy,1,2,2,0,Poprawia
2023-06-05 15:42:06,39,2,Nie,Nie,Nie,Jazz,Nie,Tak,,czasem,nigdy,nigdy,czasem,nigdy,bardzo często,nigdy,czasem,czasem,nigdy,często,nigdy,czasem,nigdy,nigdy,nigdy,1,1,1,1,Nie odczuwam żadnych efektów
2023-06-05 15:52:06,39,2,Nie,Nie,Nie,Jazz,Nie,Tak,,czasem,nigdy,nigdy,czasem,nigdy,bardzo często,nigdy,czasem,czasem,nigdy,często,nigdy,czasem,nigdy,nigdy,nigdy,1,1,1,1,Poprawia
2023-06-05 15:45:05,21,5,Nie,Nie,Nie,Pop,Tak,Tak,,czasem,rzadko,nigdy,nigdy,czasem,nigdy,nigdy,czasem,czasem,rzadko,bardzo często,często,czasem,czasem,nigdy,nigdy,0,0,0,0,Poprawia
2023-06-05 15:48:05,21,5,Nie,Nie,Nie,Pop,Tak,Tak,,czasem,rzadko,nigdy,nigdy,czasem,nigdy,nigdy,czasem,czasem,rzadko,bardzo często,często,czasem,czasem,nigdy,nigdy,2,2,2,1,Poprawia
2023-06-03 15:51:48,23,2,Tak,Nie,Nie,Muzyka Klasyczna,Nie,Nie,,bardzo często,nigdy,nigdy,nigdy,czasem,czasem,nigdy,czasem,czasem,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,1,1,1,1,Poprawia
2023-06-03 15:55:58,29,2,Nie,Nie,Nie,Rock,Nie,Tak,,nigdy,nigdy,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,rzadko,rzadko,rzadko,czasem,bardzo często,nigdy,nigdy,8,8,4,4,Nie odczuwam żadnych efektów
2023-06-03 15:58:59,26,2,Nie,Nie,Nie,Rock,Nie,Tak,,nigdy,nigdy,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,rzadko,rzadko,rzadko,czasem,bardzo często,nigdy,nigdy,8,8,4,4,Poprawia
